IDDIST;LONGITUD;LATITUD
050601;-74.01631165;-14.67630577
050602;-74.15384674;-14.1944809
050603;-74.07756805;-14.36213589
050604;-73.98182678;-14.4658289
050605;-73.88371277;-14.9827404
050606;-73.75734711;-14.47715473
050607;-74.99372101;-14.1664114
050608;-74.76618958;-14.2499752
050609;-74.6156311;-14.67146587
050610;-74.94054413;-14.24979973
050611;-74.30445099;-14.48745823
050612;-74.84712219;-14.42746067
050613;-74.66027832;-14.49215221
050614;-74.3745575;-14.9559021
050615;-74.25441742;-14.7917738
050616;-74.18648529;-14.6539917
050617;-74.20788574;-14.97110939
050618;-74.49427032;-14.29130173
050619;-74.15843964;-15.14709377
050620;-73.92557526;-14.22089386
050621;-74.54581451;-14.93279171
050701;-73.6993103;-14.81575489
050702;-73.70000458;-15.10584736
050703;-73.16404724;-14.77827454
050704;-73.36292267;-14.95200729
050705;-73.98448944;-15.33317566
050706;-73.59763336;-15.28206348
050707;-73.3631134;-15.00580311
050708;-73.52950287;-14.88348579
050801;-73.35793304;-15.32072735
050802;-73.25067902;-15.12775135
050803;-73.21854401;-15.26181793
050804;-73.44958496;-15.14846897
050805;-73.37927246;-15.0917244
050806;-73.11849976;-15.02303791
050807;-73.45253754;-15.2057457
050808;-73.29454803;-15.04819775
050809;-73.19579315;-15.22345066
050810;-73.45940399;-15.26000786
050901;-73.80484772;-13.99480438
050902;-73.7673111;-13.80436897
050903;-73.75261688;-13.85093117
050904;-73.72247314;-13.89135838
050905;-73.86490631;-14.21410656
050906;-73.8343811;-14.15475464
050907;-73.66700745;-14.0126524
050908;-73.58983612;-14.283535
050909;-73.71746063;-13.98323822
050910;-73.65374756;-14.08751106
050911;-73.69087219;-14.20955181
051001;-74.08996582;-13.80465603
051002;-74.21039581;-13.66553116
051003;-74.0070343;-14.06495762
051004;-73.93805695;-14.07587814
051005;-73.99480438;-13.96156788
051006;-73.98844147;-13.79284859
051007;-74.03791046;-13.71485519
051008;-74.27560425;-13.71605682
051009;-74.16976929;-13.74907017
051010;-73.97904205;-13.87801266
051011;-74.40976715;-13.69028187
051012;-74.64322662;-13.65238571
051101;-73.89619446;-13.65568447
051102;-73.86729431;-13.8061924
051103;-73.7818985;-13.73940086
051104;-73.88054657;-13.54212284
051105;-73.88787842;-13.74431038
051106;-73.85836029;-13.87562084
051107;-73.75069427;-13.70107174
051108;-74.01373291;-13.553689
060101;-78.56139374;-7.077517033
060102;-78.52716064;-7.338228226
060103;-78.65424347;-7.142520428
060104;-78.51685333;-7.453032017
060105;-78.40307617;-6.985220432
060106;-78.36673737;-7.298308372
060107;-78.41117096;-7.189575672
060108;-78.45597839;-7.090126038
060109;-78.62231445;-7.224728584
060110;-78.25868988;-7.271945477
060111;-78.28383636;-7.184350014
060112;-78.48165131;-7.273895264
060201;-78.0321579;-7.631467342
060202;-78.25332642;-7.567695618
060203;-78.09111023;-7.53012085
060204;-77.90634155;-7.474380016
060301;-78.11760712;-6.775197029
060302;-78.18709564;-6.570539951
060303;-78.2855835;-6.48768568
060304;-78.3256073;-6.828293324
060305;-78.06924438;-6.93949461
060306;-78.15831757;-6.919858456
060307;-78.26538086;-6.65100956
060308;-78.06142426;-7.059361458
060309;-78.29709625;-6.934191227
